EntrezGeneID,EntrezGeneSymbol,UniProt
3094,HINT1,P49773
3098,HK1,P19367
3099,HK2,P52789
3107,HLA-C,P10321
3110,MNX1,P50219
3118,HLA-DQA2,P01906
3125,HLA-DRB3,P79483
3131,HLF,Q16534
3133,HLA-E,P13747
3135,HLA-G,P17693
3145,HMBS,P08397
3146,HMGB1,P09429
3148,HMGB2,P26583
3149,HMGB3,O15347
3150,HMGN1,P05114
3155,HMGCL,P35914
3156,HMGCR,P04035
3157,HMGCS1,Q01581
3158,HMGCS2,P54868
3159,HMGA1,P17096
3162,HMOX1,P09601
3163,HMOX2,P30519
3164,NR4A1,P22736
3167,HMX2,A2RU54
3172,HNF4A,P41235
3176,HNMT,P50135
3178,HNRNPA1,P09651
3181,HNRNPA2B1,P22626
3182,HNRNPAB,Q99729
3183,HNRNPC,P07910
3184,HNRNPD,Q14103
3185,HNRNPF,P52597
3187,HNRNPH1,P31943
3190,HNRNPK,P61978
3202,HOXA5,P20719
3207,HOXA11,P31270
3233,HOXD4,P09016
3240,HP,P00738
3241,HPCAL1,P37235
3242,HPD,P32754
3248,HPGD,P15428
3251,HPRT1,P00492
3263,HPX,P02790
3265,HRAS,P01112
3267,AGFG1,P52594
3268,AGFG2,O95081
3270,HRC,P23327
3273,HRG,P04196
3280,HES1,Q14469
3290,HSD11B1,P28845
3292,HSD17B1,P14061
3297,HSF1,Q00613
3300,DNAJB2,P25686
3303,HSPA1A,P0DMV8
3303,HSPA1B,P0DMV8
3306,HSPA2,P54652
3310,HSPA6,P17066
3312,HSPA8,P11142
3313,HSPA9,P38646
3315,HSPB1,P04792
3320,HSP90AA1,P07900
3321,IGSF3,O75054
3326,HSP90AB1,P08238
